code_prelevement;code_commune;code_reseau;date_prelevement;bact;pc
97200106922;97224;;2023-06-19T10:50:00Z;C;C
97200106014;97220;;2023-06-19T10:50:00Z;C;C
97200107190;97224;;2023-06-19T10:40:00Z;C;C
97200106756;97230;;2023-06-19T10:15:00Z;C;C
97200106025;97222;;2023-06-19T10:10:00Z;C;C
97200106009;97224;;2023-06-19T10:05:00Z;C;C
97200106015;97206;;2023-06-19T10:00:00Z;C;C
97200106030;97209;;2023-06-19T09:30:00Z;C;C
97200106037;97208;;2023-06-14T11:30:00Z;C;C
97200106041;97209;;2023-06-14T10:10:00Z;C;C
97200106038;97234;;2023-06-14T10:00:00Z;C;C
97200106084;97222;;2023-06-13T11:30:00Z;C;C
97200106039;97222;;2023-06-13T11:20:00Z;C;C
97200106035;97233;;2023-06-13T11:10:00Z;C;C
97200106083;97213;;2023-06-13T10:35:00Z;C;C
97200106036;97229;;2023-06-13T10:30:00Z;C;C
97200106033;97228;;2023-06-13T10:00:00Z;C;C
97200106040;97229;;2023-06-13T10:00:00Z;C;C
97200106087;97224;;2023-06-12T12:10:00Z;C;C
97200105923;97212;;2023-06-12T12:00:00Z;C;C
97200106023;97212;;2023-06-12T11:30:00Z;C;C
97200106079;97213;;2023-06-12T11:00:00Z;C;C
97200105927;97212;;2023-06-12T10:54:00Z;;C
97200105926;97209;;2023-06-12T10:40:00Z;C;C
97200105925;97212;;2023-06-12T10:35:00Z;C;C
97200106077;97213;;2023-06-12T10:10:00Z;C;C
97200105924;97209;;2023-06-12T09:55:00Z;C;C
97200106080;97228;;2023-06-12T08:45:00Z;C;C
97200106466;97207;;2023-06-08T10:10:00Z;C;C
97200106463;97209;;2023-06-07T12:11:00Z;C;C
97200106483;97209;;2023-06-07T11:30:00Z;C;C
97200106464;97233;;2023-06-07T11:30:00Z;C;C
97200106465;97217;;2023-06-07T11:10:00Z;C;C
97200106484;97209;;2023-06-07T11:00:00Z;C;C
97200106588;97220;;2023-06-07T10:25:00Z;C;C
97200106460;97203;;2023-06-05T12:05:00Z;C;C
97200106393;97212;;2023-06-05T12:00:00Z;C;C
97200106353;97214;;2023-06-05T11:20:00Z;C;C
97200106458;97212;;2023-06-05T11:15:00Z;C;C
97200106459;97211;;2023-06-05T11:09:00Z;C;C
97200106461;97226;;2023-06-05T10:50:00Z;C;C
97200107037;97209;;2023-06-05T10:40:00Z;C;C
97200106462;97226;;2023-06-05T10:13:00Z;C;C
97200106329;97228;;2023-06-05T10:10:00Z;C;C
97200106392;97222;;2023-06-05T10:00:00Z;;C
