annee_reference;domain;indicator_id;territoire;perimeter_id;value;unit;source_family;authority;source_file;source_page;record_role;quality_status;coverage_status;definition;note
2023;EAU_POTABLE;EP_VOLUME_FACTURE_CLIENTELE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3824192;m³/an;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2023.pdf;130;PRODUCTION;OK;COMPLETE;Somme des volumes facturés/vendus du tableau clientèle du RAD.;Le RPQS donne 3 824 167 m3, écart de 25 m3.
2023;EAU_POTABLE;EP_VOLUME_FACTURE_HYDRAULIQUE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3670323;m³/an;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2023.pdf;64;PRODUCTION;OK;COMPLETE;Volume facturé E' utilisé dans le bilan hydraulique/rendement.;
2023;EAU_POTABLE;EP_VOLUME_COMPTABILISE;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3728683;m³/an;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2023.pdf;64;PRODUCTION;OK;COMPLETE;Volume comptabilisé E = facturé + dégrevé/gratuit.;
2023;EAU_POTABLE;P104.3;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;51.53;%;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2023.pdf;66;AUDIT;REVISED_LATER;COMPLETE;Rendement du réseau du contrat CAP Nord publié dans le RAD 2023.;Le RAD 2024 révise la valeur historique 2023 à 53,17 %.
2023;EAU_POTABLE;P104.3_REVISED;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;53.17;%;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2024.pdf;48;PRODUCTION;REVISED_BY_LATER_SOURCE;COMPLETE;Rendement 2023 révisé tel que repris dans le RAD 2024.;Ne pas écraser la publication initiale.
2023;EAU_POTABLE;P106.3;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;10.97;m³/km/j;RAD;CAP Nord / SME;RAD_Eau_potable_CAP_NORD_2023.pdf;65;PRODUCTION;OK;COMPLETE;Indice linéaire de pertes du contrat CAP Nord.;
2023;EAU_POTABLE;P104.3_CONTRACT;EX_SICSM;EX_SICSM_DSP_2015_2027;80.0;%;RAD;CAP Nord / SME;RAD_Eau_Potable_Ex-SICSM_2023.pdf;105;PRODUCTION;OK;COMPLETE;P104.3 calculé pour le périmètre entier Ex-SICSM.;Le RAD indique que rendement/ILP ne sont pas ventilables entre CAESM et Robert-Trinité.
2023;EAU_POTABLE;P106.3_CONTRACT;EX_SICSM;EX_SICSM_DSP_2015_2027;6.53;m³/km/j;RAD;CAP Nord / SME;RAD_Eau_Potable_Ex-SICSM_2023.pdf;105;PRODUCTION;OK;COMPLETE;ILP/pertes du périmètre entier Ex-SICSM.;
2023;EAU_POTABLE;P104.3_REPORTED_RT;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;80.63;%;RPQS;CAP Nord / SME;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;34;DIAGNOSTIC;PERIMETER_SCOPE_AMBIGUOUS;COMPLETE;Valeur RPQS libellée Robert-Trinité / ex-SICSM.;Proche du rendement technique de l'ensemble Ex-SICSM, alors que le RAD dit l'indicateur non ventilable.
2023;EAU_POTABLE;EP_VOLUME_VENDU_RPQS;CAP_NORD_DSP_2020_2024;CAP_NORD_DSP_2020_2024;3824167;m³/an;RPQS;CAP Nord / SME;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;11;DIAGNOSTIC;OK;COMPLETE;Volumes vendus aux abonnés « 16 communes » au RPQS.;Écart de 25 m3 avec le tableau clientèle du RAD.
2023;EAU_POTABLE;EP_VOLUME_VENDU_RPQS;ROBERT_TRINITE;ROBERT_TRINITE_EXSICSM;1898167;m³/an;RPQS;CAP Nord / SME;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;11;PRODUCTION;OK;COMPLETE;Volumes vendus aux abonnés Robert-Trinité contrat ex-SICSM.;
2023;EAU_POTABLE;EP_VOLUME_VENDU_RPQS;CAP_NORD;CAP_NORD_EPCI;5722534;m³/an;RPQS;CAP Nord / SME;https://www.services.eaufrance.fr/sispea/referential/download-rpqs.action?collectivityId=236434&rpqsId=831713;11;PRODUCTION;OK;COMPLETE;Total vendu aux abonnés de l'EPCI.;
