year_reference;code_agglo;nom_agglo;commune_principale;code_insee_commune_principale;etat_agglo;taille_agglo_eh;tranche_obligation;maximum_pollutions_entrantes_eh;somme_capacites_nominales_eh;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_temps_sec;conformite_globale_agglo;date_mise_a_jour_agglo;type_reseau_majoritaire;source_file
2022;080001297224;SAINT-JOSEPHGONDEAU MONTROSE;Saint-Joseph;97224;En activité;150.0;Taille ≤ 200 EH;150.0;150.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080001097224;SAINT-JOSEPH-GONDEAU MONTROSE SILM;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;0.0;Non;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000997224;SAINT-JOSEPH-LA CHAPPELLE;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;900.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000397224;Saint-JosephLES HAMEAUX;Saint-Joseph;97224;En activité;44.0;"] 200 ; 2 000 [ EH";44.0;200.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000197224;SAINT-JOSEPH-MARTINIQUE;Saint-Joseph;97224;En activité;3896.0;"[ 2 000 ; 10 000 [ EH";3896.0;2500.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080001697224;Saint-Joseph MORNE BASSET;Saint-Joseph;97224;En activité;0.0;Taille ≤ 200 EH;0.0;75.0;Non;Non;N/A;Non;2024-12-19;Unitaire;export-as-telechargement(2).csv
2022;080001797224;Saint-Joseph - MORNE BASSET 2;Saint-Joseph;97224;En activité;0.0;Taille ≤ 200 EH;0.0;75.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080001397224;Saint-Joseph- POW'ROSE - BELLE ETOILE 2;Saint-Joseph;97224;En activité;385.0;"] 200 ; 2 000 [ EH";385.0;340.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000697224;SAINT-JOSEPH-PRESQU'ÎLE;Saint-Joseph;97224;En activité;10.0;Taille ≤ 200 EH;10.0;50.0;Oui;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080001597224;Saint-Joseph-RAMEDACE NORD;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;400.0;Non;Non;N/A;Non;2024-12-06;Unitaire;export-as-telechargement(2).csv
2022;080000597224;SAINT-JOSEPH-RAVINE BANCHE NORD;Saint-Joseph;97224;En activité;12.0;"] 200 ; 2 000 [ EH";12.0;125.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000497224;SAINT-JOSEPH-RAVINE BLANCHE SUD;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;250.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080001497224;SAINT-JOSEPH-RAVINE-CHARMEUSE;Saint-Joseph;97224;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;470.0;Oui;Oui;N/A;Oui;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000297225;SAINT-PIERRE-CDST;Saint-Pierre;97225;En activité;0.0;Taille ≤ 200 EH;0.0;150.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000497225;SAINT-PIERRE-LEP ST JAMES;Saint-Pierre;97225;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;500.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000397225;SAINT-PIERRE-MANFÉNIL LLS HABITATION BEA;Saint-Pierre;97225;En activité;0.0;"] 200 ; 2 000 [ EH";0.0;650.0;Oui;Non;N/A;Non;2024-12-06;Inconnu;export-as-telechargement(2).csv
2022;080000197225;SAINT-PIERRE-MARTINIQUE;Saint-Pierre;97225;En activité;3370.0;"[ 2 000 ; 10 000 [ EH";3370.0;4000.0;Non;Oui;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000297229;SCHOELCHERFOND LAHAYE;Schœlcher;97229;En activité;2750.0;"[ 2 000 ; 10 000 [ EH";2750.0;4000.0;Non;Non;Oui;Non;2024-12-06;Séparatif;export-as-telechargement(2).csv
2022;080000197230;TRINITE-DESMARINIERES;La Trinité;97230;En activité;4076.0;"[ 2 000 ; 10 000 [ EH";4076.0;10000.0;Non;Non;Oui;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
2022;080000497230;TRINITE-LA VALÉRIANNE;La Trinité;97230;En activité;0.0;Taille ≤ 200 EH;0.0;110.0;Non;Non;N/A;Non;2024-12-19;Inconnu;export-as-telechargement(2).csv
2022;080000397230;TRINITE-QUARTIER BAC;La Trinité;97230;En activité;127.0;"] 200 ; 2 000 [ EH";127.0;1000.0;Non;Oui;N/A;Non;2024-12-17;Séparatif;export-as-telechargement(2).csv
