year_reference;code_steu;code_agglo;nom_agglo;nature_steu;epci_normalise;etat_steu;capacite_nominale_eh;capacite_nominale_kg_dbo5;percentile95_m3_j;charge_max_entree_eh;debit_entrant_m3_j;filiere_eau_principale;filiere_boues_principale;conformite_equipement_agglo;conformite_performance_agglo;conformite_collecte_agglo;conformite_globale_agglo;conformite_equipement_steu;conformite_performance_steu;conformite_station_reconstituee;cause_non_conformite;production_boues_tms;code_systeme_collecte;nom_systeme_collecte;code_masse_eau;nom_masse_eau;nom_milieu_rejet;type_milieu_rejet;latitude_rejet_wgs84;longitude_rejet_wgs84;date_derniere_modification_source;date_mise_a_jour_agglo;source_file
2022;080000897209;080000797209;Fort-de-France- LES MEYNARD;Urbain;CACEM;En service;30.0;2.0;0.0;0.0;0.0;;;Non;Non;N/A;Non;Non;Non;;Non transmission de l'autosurveillance (STEU);0.0;S080000897209;Systeme de collecte - Fort-de-France LES MEYNARD;;;REJET PRINCIPAL DE Fort-de-France LES MEYNARD;Eau douce de surface;;;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000697209;080000697209;Fort-de-France TIVOLI LA FONTANE;Urbain;Non déterminé;En service;150.0;9.0;0.0;0.0;0.0;;;Non;Non;N/A;Non;Non;Non;;Non transmission de l'autosurveillance (STEU);0.0;S080000697209;Systeme de collecte - Fort-de-France;;;REJET PRINCIPAL DE Fort-de-France;Eau douce de surface;;;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000197210;080000197210;FRANCOIS;Urbain;CAESM;En service;6666.0;400.0;1125.0;4964.0;979.0;Boue activée aération prolongée (très faible charge);Filtration à bande;Non;Non;Oui;Non;Non;Non;False;Point de mesure A2 absent;0.0;080000197210;SC du STEU : POINTE COURCHET;FRJR107;François;Rejet POINTE COURCHET;Estuaire (dont étang salé);14.6197829;-60.8986466;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000497210;080001097210;FRANCOIS-CAP-EST;Privé;Non déterminé;En service;500.0;30.0;0.0;0.0;0.0;Boue activée forte charge;Epaississement statique gravitaire;Oui;Non;N/A;Non;Oui;Non;;Non transmission complète ou incomplète de l'autosurveillance (STEU);0.0;S080000497210;Systeme de collecte - FRANCOIS;;;REJET PRINCIPAL DE FRANCOIS;Eau douce de surface;;;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000697210;080001197210;FRANCOIS- MANSARDE RANCÉE;Urbain;CAESM;En service;1000.0;60.0;58.0;328.0;13.0;Filtres Plantés;;Oui;Oui;N/A;Oui;Oui;Oui;;;0.0;S080000697210;Systeme de collecte - FRANCOIS- Mansarde Rancée;;;REJET PRINCIPAL DE FRANCOIS- Mansarde Rancée;Eau douce de surface;14.6477739;-60.9063155;2024-12-17;2024-12-17;export-as-telechargement(2).csv
2022;080000197211;080000197211;Grand'Rivière - STADE GRAND RIVIERE;Urbain;CAP Nord;En service;190.0;11.0;0.0;0.0;0.0;Disques biologiques;Epaississement statique gravitaire;Oui;Non;N/A;Non;Oui;Non;;Non transmission de l'autosurveillance (STEU);0.0;080000197211;SC du STEU : Sainte Catherine;FRJR003;-;Rejet Sainte Catherine;Eau douce de surface;14.8729041;-61.1778765;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000297211;080000197211;Grand'Rivière - STADE GRAND RIVIERE;Urbain;CAP Nord;En service;25.0;2.0;0.0;190.0;30.0;Boue activée faible charge;Epaississement statique gravitaire;Oui;Non;N/A;Non;Oui;Non;;Non transmission de l'autosurveillance (STEU);0.0;080000297211;SC du STEU : Stade;FRJR003;-;Rejet Stade;Eau douce de surface;14.868485;-61.1756185;2024-12-19;2024-12-19;export-as-telechargement(2).csv
2022;080000497212;080000197212;GROS-MORNEBOURG;Urbain;CAP Nord;En service;1500.0;90.0;140.0;527.0;136.0;Biofiltre;Centrifugation;Non;Non;N/A;Non;Non;Non;;;0.0;080000497212;SYSTEME DE COLLECTE - DENEL;FRJR106;Galion;REJET PRINCIPAL DE DENEL;Eau douce de surface;14.7195686;-60.9902134;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000297212;080000397212;GROS-MORNE-COLLEGE;Privé;Non déterminé;En service;260.0;16.0;0.0;200.0;8.0;;;Non;Non;N/A;Non;Non;Non;;Non transmission de l'autosurveillance;0.0;S080000297212;Systeme de collecte - GROS-MORNE;;;REJET PRINCIPAL DE GROS-MORNE;Eau douce de surface;;;2024-12-05;2024-12-06;export-as-telechargement(2).csv
2022;080000297201;080000297201;L'Ajoupa-Bouillon;Urbain;CAP Nord;En service;850.0;51.0;330.0;2640.0;235.0;Boue activée aération prolongée (très faible charge);Epaississement statique gravitaire;Oui;Oui;Oui;Oui;Oui;Oui;True;;0.0;080000297201;SC du STEU : Deschamps/Cité Grenade;FRJR005;-;Rejet Deschamps/Cité Grenade;Eau douce de surface;14.8181331;-61.108942;2024-12-05;2024-12-06;export-as-telechargement(2).csv
