code_steu;nom_steu;nature_steu;code_sandre_nature_steu;commune_implantation;code_insee_commune;maitre_ouvrage;exploitant;epci_normalise;latitude_wgs84;longitude_wgs84;date_mise_service;date_mise_hors_service;source_file;first_seen_year;last_seen_year
080002797213;LE LAMENTIN - ZI JAMBETTE;Urbain;1;Le Lamentin;97213;ODYSSI;ODYSSI;CACEM;14.6137463;-61.0364483;2022-01-01;;export-as-telechargement(2).csv;2022;2022
080000197216;MARIGOT - BOURG DU MARIGOT;Urbain;1;Le Marigot;97216;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8217825;-61.0322262;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080000297217;LE MARIN - DUPREY;Urbain;1;Le Marin;97217;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.4602729;-60.8892955;1996-01-01;;export-as-telechargement(2).csv;2022;2022
080000397217;LE MARIN - SAINTE-ANNE;Urbain;1;Le Marin;97217;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.4698435;-60.8534833;2009-01-01;;export-as-telechargement(2).csv;2022;2022
080000997218;LE MORNE-ROUGE - CAT PETITE SAVANE;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.7764687;-61.1273584;2020-01-01;;export-as-telechargement(2).csv;2022;2022
080000197218;LE MORNE-ROUGE - CHAZEAU-O-MULLANE;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7860525;-61.1368338;1987-12-31;;export-as-telechargement(2).csv;2022;2022
080001597218;LE MORNE-ROUGE - RESIDENCE CHADEC;Privé;4;Le Morne-Rouge;97218;SIMAR;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.7779123;-61.1337639;2011-01-01;;export-as-telechargement(2).csv;2022;2022
080001097218;LE MORNE-ROUGE - HAUT BOURG;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7798327;-61.1376856;2022-01-01;;export-as-telechargement(2).csv;2022;2022
080000497218;LE MORNE-ROUGE - PARNASSE;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7560478;-61.14568;1996-12-31;;export-as-telechargement(2).csv;2022;2022
080000997219;PRECHEUR - ANSE BELLEVILLE;Urbain;1;Le Prêcheur;97219;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.8167453;-61.2275737;1099-01-01;;export-as-telechargement(2).csv;2022;2022
080000697219;PRECHEUR - CITÉ COQUETTE;Urbain;1;Le Prêcheur;97219;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.8023605;-61.2232689;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080000397219;PRECHEUR - CITE LENNY SOLIDARITE;Urbain;1;Le Prêcheur;97219;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.797065;-61.2209898;2001-01-01;;export-as-telechargement(2).csv;2022;2022
080000597219;PRECHEUR - LA PERLE;Urbain;1;Le Prêcheur;97219;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7999066;-61.2226573;2009-12-31;;export-as-telechargement(2).csv;2022;2022
080000897219;PRECHEUR - L'ECOLE;Urbain;1;Le Prêcheur;97219;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.8012678;-61.2257209;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080001197219;PRECHEUR - MORNE FOLIE;Urbain;1;Le Prêcheur;97219;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7887137;-61.2174074;2016-06-01;;export-as-telechargement(2).csv;2022;2022
080000197222;LE ROBERT - COURBARIL;Urbain;1;Le Robert;97222;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6737365;-60.9408684;1980-12-31;;export-as-telechargement(2).csv;2022;2022
080000397222;LE ROBERT - MOULIN A VENT;Urbain;1;Le Robert;97222;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6817775;-60.9478481;1991-12-31;;export-as-telechargement(2).csv;2022;2022
080000597222;LE ROBERT - POINTE LYNCH;Urbain;1;Le Robert;97222;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6825052;-60.9310858;1988-12-31;;export-as-telechargement(2).csv;2022;2022
080000297222;LE ROBERT - FOUR A CHAUX;Urbain;1;Le Robert;97222;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.6544116;-60.9321387;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080001397222;LE ROBERT - SARL CATALOGNE;Privé;4;Le Robert;97222;;;Non déterminé;14.6800734;-60.9523755;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080001297222;LE ROBERT - RESIDENCE HELIA;Privé;4;Le Robert;97222;;;Non déterminé;14.6768517;-60.9477456;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080000197214;LE LORRAIN - SOUS-BOIS (BOURG);Urbain;1;Le Lorrain;97214;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.835728;-61.0622459;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080000697214;LE LORRAIN - RESIDENCE CANNE A SUCRE;Privé;4;Le Lorrain;97214;SIMAR;COTRAM Assainissement;Non déterminé;14.8291648;-61.048054;2016-12-31;;export-as-telechargement(2).csv;2022;2022
080000497214;LE LORRAIN - RESIDENCE MACEDOINE;Privé;4;Le Lorrain;97214;SOCIETE OZANAM S.A HABIT LOYER MODERE;COTRAM Assainissement;Non déterminé;14.8142082;-61.0715593;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000297215;MACOUBA - CASE PAUL;Urbain;1;Macouba;97215;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8759488;-61.1439531;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080000197215;MACOUBA - GUERIN;Urbain;1;Macouba;97215;Communauté d'Agglomération du Pays Nord Martinique;SOC EAUX ET ASSAINISSEMENT;CAP Nord;14.8767157;-61.1382133;2000-01-01;;export-as-telechargement(2).csv;2022;2022
080000597218;LE MORNE-ROUGE - ADAPEI CHAMPFLORE;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7892797;-61.1369456;1990-01-01;;export-as-telechargement(2).csv;2022;2022
080000297218;LE MORNE-ROUGE - FOND ROSE;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7729073;-61.1272682;1996-12-31;;export-as-telechargement(2).csv;2022;2022
080000397218;LE MORNE-ROUGE - GALETTE;Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7701054;-61.135038;1996-12-31;;export-as-telechargement(2).csv;2022;2022
080001197218;LE MORNE-ROUGE - CAMP CHAZEAU (CAP21);Urbain;1;Le Morne-Rouge;97218;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7887138;-61.1340246;2016-12-31;;export-as-telechargement(2).csv;2022;2022
080000197233;LE MORNE-VERT - LA VIGIE;Urbain;1;Le Morne-Vert;97233;Communauté d'Agglomération du Pays Nord Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAP Nord;14.7024747;-61.1456781;2009-01-01;;export-as-telechargement(2).csv;2022;2022
080000897220;RIVIERE-PILOTE - RESIDENCE MALVINA ET LUMINA;Privé;4;Rivière-Pilote;97220;SIMAR;SO.TR.A.G. SOCIETE DE TRAVAUX ANTILLES;Non déterminé;14.5246181;-60.8830929;2018-01-01;;export-as-telechargement(2).csv;2022;2022
080000197220;RIVIERE-PILOTE - MANIKOU;Urbain;1;Rivière-Pilote;97220;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.480957;-60.9034471;2006-01-01;;export-as-telechargement(2).csv;2022;2022
080000397220;RIVIERE-PILOTE - MANIKOU 1;Privé;4;Rivière-Pilote;97220;SIMAR;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.4808859;-60.9035869;2000-05-24;;export-as-telechargement(2).csv;2022;2022
080000497220;RIVIERE-PILOTE - MANIKOU 2;Privé;4;Rivière-Pilote;97220;SIMAR;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.4797698;-60.9061014;2000-05-24;;export-as-telechargement(2).csv;2022;2022
080000597220;RIVIERE-PILOTE - MANIKOU_1;Urbain;1;Rivière-Pilote;97220;SIMAR;SOC EAUX ET ASSAINISSEMENT;Non déterminé;14.4808677;-60.9035685;2015-01-01;;export-as-telechargement(2).csv;2022;2022
080000197221;RIVIERE-SALEE - BOURG GRAND CASE;Urbain;1;Rivière-Salée;97221;Communauté d'Agglomération de l'Espace Sud de Martinique;SOCIETE MARTINIQUAISE DES EAUX;CAESM;14.5426635;-60.977156;1999-01-01;;export-as-telechargement(2).csv;2022;2022
