annee_reference;code_ouvrage;nom_ouvrage;departement;code_insee;commune;volume_m3;code_usage_bnpe;libelle_usage_bnpe;code_usage_declare;usage_declare;type_eau;longitude;latitude;precision_localisation;mode_obtention_volume;statut_volume;qualification_volume;code_bss;code_zone_hydro;nom_zone_hydro;code_entite_hydro_cours_eau;code_entite_hydro_plan_eau;code_bdlisa;libelle_bdlisa;date_debut_exploitation;date_fin_exploitation;source_file
2023;OPR0000639980;Rivière Macouba (gravitaire);972;97203;BASSE-POINTE;40000;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929174601165;0.0001339618014491218;1;EST;Contrôlé Niveau 1;Correcte;;2103;;21030480;;;;;;prelevements.csv
2023;OPR0000276811;Source Didier SEMDD;972;97209;FORT-DE-FRANCE;39420;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);8;EMBOUTEILLAGE;SOUT;-67.48929121553162;0.00013223890472452028;1;EST;Non qualifié;Correcte;;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
2023;OPR0000276782;Rivière Lézarde - UNION SARL;972;97213;LAMENTIN;38761;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929029907173;0.0001321061747750336;1;EST;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000276812;Source Mabelo SEMDD;972;97209;FORT-DE-FRANCE;34155;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);8;EMBOUTEILLAGE;SOUT;-67.48929121553162;0.00013223890472452028;1;MES;Non qualifié;Correcte;;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
2023;OPR0000276772;Rivière Lézarde - SARL RIVIERE LEZARDE;972;97213;LAMENTIN;32775;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929022818818;0.00013197073994287593;1;EST;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000276813;Mont béni SOMES;972;97218;MORNE-ROUGE;29542;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);8;EMBOUTEILLAGE;SOUT;-67.48929144601344;0.00013308409063005628;1;EST;Non qualifié;Correcte;;;;;;972AF07;Hyaloclastites du Morne Jacob;;;prelevements.csv
2023;OPR0000567237;Rivière Lézarde - SARL RIVIERE LEZARDE;972;97213;LAMENTIN;29120;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.4892903333757;0.0001321636461881144;1;MES;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000646024;Rivière Blanche - SIBAN Station STA - 48;972;97224;SAINT-JOSEPH;29120;IND;INDUSTRIE et ACTIVITES ECONOMIQUES (hors irrigation, hors énergie);3;AGRICULTURE-ELEVAGE (hors irrigation);CONT;-67.48929057041268;0.00013227536004941794;1;MES;Contrôlé Niveau 1;Correcte;;2401;;24010520;;;;;;prelevements.csv
2023;OPR0000276760;Rivière Lézarde - Habitation BOCHET;972;97213;LAMENTIN;25555;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929034134922;0.00013225934169185753;1;MES;Contrôlé Niveau 1;Correcte;;2521;;25211480;;;;;;prelevements.csv
2023;OPR0000276780;Petite rivière Lézarde - UNION SARL;972;97213;LAMENTIN;20671;IRR;IRRIGATION;2;IRRIGATION;CONT;-67.48929015140962;0.00013194698293887613;1;MES;Contrôlé Niveau 1;Correcte;;2523;;25330750;;;;;;prelevements.csv
